Disease/Trait (PheGenI),Main categories (PheGenI),Entries utilized in this study,Ensembl ID,GWAS eGene ID,Ensembl gene category,Ensembl biotype,Genomic location of transcript,Mean expression in classical monocytes (TPM),Mean expression in non-classical monocytes (TPM),"Mean expression in
NK cells (TPM)",Mean expression in naïve B cells (TPM),Mean expression in naïve CD4+ T cells (TPM),Mean expression in naïve CD8+ T cells (TPM),"Mean expression in activated naïve
CD4+ T cells (TPM)","Mean expression in activated naïve
CD8+ T cells (TPM)",Mean expression in naïve TREG cells (TPM),Mean expression in memory TREG cells (TPM),"Mean expression in
TH1 cells (TPM)",Mean expression in TH1/17 cells (TPM),"Mean expression in
TH17 cells (TPM)","Mean expression in
TH2 cells (TPM)","Mean expression in
TFH cells (TPM)","Adj. association P value in
classical monocytes","Adj. association P value in
non-classical monocytes","Adj. association P value in
NK cells","Adj. association P value in
naïve B cells","Adj.association P value in
naïve CD4+ T cells","Adj. association P value in
naïve CD8+ T cells",Adj. association P value in activated naïve CD4+ T cells,Adj. association P value in activated naïve CD8+ T cells,"Adj. association P value in
naïve TREG cells","Adj. association P value in
memory TREG cells","Adj. association P value in
TH1 cells","Adj. association P value in
TH1/17 cells","Adj.association P value in
TH17 cells","Adj. association P value in
TH2 cells","Adj. association P value in
TFH cells",Count of cell types with GWAS eGenes
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000135587.4,SMPD2,protein coding,Protein-coding transcript,"chr6:109,761,966-109,765,122",10.6,11.4,12,33.5,11.2,10.7,32.4,34.4,12.3,17.7,13.9,11.6,13,12.2,15.2,1.15E-06,7.28E-04,1.74E-02,2.61E-02,1.21E-03,3.54E-03,2.96E-02,3.98E-05,6.77E-03,1.90E-04,3.54E-02,N/A,2.42E-05,4.99E-04,2.77E-02,14
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000135596.13,MICAL1,protein coding,Protein-coding transcript,"chr6:109,765,265-109,787,171",60.1,119.2,56.9,101.6,59.6,62.6,32.3,50.8,70.4,147.5,97,69,100.6,96.5,121.3,N/A,N/A,3.50E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.56E-03,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000135636.9,DYSF,protein coding,Protein-coding transcript,"chr2:71,680,852-71,913,898",41.6,2.3,6.2,0,0.1,3.3,0,0.3,0.1,0.2,0.1,0.1,0,0,0.2,1.07E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000135912.6,TTLL4,protein coding,Protein-coding transcript,"chr2:219,575,568-219,620,139",26.9,14.9,12.8,11.4,10.4,10.9,39.7,41.3,10,11.4,11.3,10.8,11.6,11.3,11.1,N/A,6.91E-07,N/A,N/A,9.46E-03,N/A,N/A,N/A,N/A,2.67E-03,N/A,2.18E-03,4.75E-02,3.09E-04,N/A,6
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000135913.6,USP37,protein coding,Protein-coding transcript,"chr2:219,314,974-219,433,084",6.9,15.5,21.9,31,28.9,23.4,47.1,40,26.9,19.2,21.7,23,21.6,24.2,20,5.73E-04,N/A,N/A,N/A,N/A,3.50E-02,N/A,N/A,N/A,3.97E-02,3.09E-02,N/A,N/A,N/A,N/A,4
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000135929.4,CYP27A1,protein coding,Protein-coding transcript,"chr2:219,646,472-219,680,016",61.8,0.4,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.3,2.87E-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000136478.3,TEX2,protein coding,Protein-coding transcript,"chr17:62,224,587-62,340,661",6.9,5.4,8.6,5.8,14,10.3,9.9,11.8,12.5,7.5,9.9,9.1,8.3,8.9,8.8,N/A,N/A,N/A,N/A,7.45E-03,9.41E-04,N/A,N/A,N/A,N/A,9.03E-03,N/A,N/A,N/A,1.94E-03,4
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000137288.5,UQCC2,protein coding,Protein-coding transcript,"chr6:33,662,070-33,679,504",3.6,4.7,7.3,6.6,10.7,11.8,11.1,14.9,9.2,9.6,9.1,7.1,9.4,9,11.4,N/A,N/A,N/A,N/A,N/A,N/A,4.14E-02,3.06E-02,N/A,N/A,N/A,N/A,1.49E-02,2.99E-04,1.02E-02,5
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000137309.15,HMGA1,protein coding,Protein-coding transcript,"chr6:34,204,650-34,214,008",86.1,36.7,50.9,44.5,94.2,104.4,370.5,408.7,105.9,137.8,114.7,70.7,103.2,118,157.4,1.06E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.77E-02,3.53E-03,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000137310.7,TCF19,protein coding,Protein-coding transcript,"chr6:31,126,319-31,134,936",2,6.2,34.3,21.7,22.3,21.1,5.1,5.4,28.9,41.6,24.8,17.4,18.6,21.3,23.5,N/A,N/A,5.87E-03,1.74E-04,3.24E-06,5.20E-07,N/A,2.58E-03,2.44E-07,9.53E-05,5.49E-03,1.55E-06,1.51E-03,2.56E-03,9.09E-06,12
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000137331.11,IER3,protein coding,Protein-coding transcript,"chr6:30,710,976-30,712,331",157.6,4,13,0.3,7,7.1,391.1,152.9,11.1,6.7,21.1,10.8,9.4,13.8,14.4,N/A,1.04E-05,N/A,N/A,N/A,N/A,N/A,3.57E-03,N/A,N/A,N/A,N/A,N/A,2.67E-02,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000138031.10,ADCY3,protein coding,Protein-coding transcript,"chr2:25,042,038-25,142,708",2.1,0.9,2.5,7.7,8.5,13.3,4.2,6.1,12.1,40,15.6,15.4,26,21.9,23.2,7.33E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.49E-02,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000138032.16,PPM1B,protein coding,Protein-coding transcript,"chr2:44,395,108-44,471,523",34.6,52.6,59.7,66.5,65.2,59.2,35.6,37.7,69.4,55.7,56.6,67.4,55.9,56.8,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.38E-02,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000138078.11,PREPL,protein coding,Protein-coding transcript,"chr2:44,543,420-44,589,001",6.6,11,20.8,19.4,29.2,25.5,59.6,60.5,38.1,16.8,16.9,19.8,18,18.6,20.2,N/A,N/A,N/A,N/A,N/A,2.64E-02,N/A,N/A,1.33E-02,N/A,N/A,N/A,4.53E-02,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000140400.10,MAN2C1,protein coding,Protein-coding transcript,"chr15:75,648,133-75,660,971",51,43.3,51.6,19.2,49.6,55.3,24.5,24.9,61.9,66.2,69.4,44.7,53.9,57.3,85,6.11E-03,N/A,N/A,1.55E-02,9.84E-03,3.29E-05,N/A,2.26E-02,5.86E-09,1.01E-10,5.52E-03,4.08E-02,4.53E-04,1.24E-03,3.26E-11,12
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000140470.9,ADAMTS17,protein coding,Protein-coding transcript,"chr15:100,511,794-100,882,210",0.1,0,0.7,0,3.4,2.7,3.3,2.7,3.8,1.5,3.5,2,3.2,4.6,5.5,N/A,N/A,N/A,N/A,2.31E-02,1.14E-03,N/A,N/A,N/A,1.50E-02,N/A,4.90E-02,N/A,N/A,N/A,4
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000141720.7,PIP4K2B,protein coding,Protein-coding transcript,"chr17:36,921,942-36,956,379",89,117.1,242,159.7,251.3,233.7,87.2,105.2,239.8,206.3,223.4,205.2,211.7,210.8,235.9,N/A,N/A,N/A,N/A,1.69E-02,N/A,3.96E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000143387.8,CTSK,protein coding,Protein-coding transcript,"chr1:150,768,684-150,780,799",59.4,32.8,38.2,45.1,46.5,44.2,5.4,6.6,35.1,68.6,50.3,43.4,50.5,53.5,49.4,4.49E-05,1.62E-05,8.76E-08,2.50E-07,1.46E-08,1.86E-11,1.72E-04,4.00E-06,2.74E-08,4.92E-09,5.46E-06,4.62E-07,3.42E-11,1.20E-09,3.74E-08,15
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000143437.16,ARNT,protein coding,Protein-coding transcript,"chr1:150,782,181-150,849,244",58.8,55.6,43.3,47.2,46.8,42.9,22.8,24.2,43.2,57.5,42.9,40.5,44.5,47.6,43.5,N/A,N/A,1.82E-05,3.00E-02,3.29E-05,6.43E-05,N/A,N/A,N/A,6.44E-07,N/A,3.61E-04,1.31E-04,1.44E-04,4.85E-06,9
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000143457.6,GOLPH3L,protein coding,Protein-coding transcript,"chr1:150,618,701-150,669,630",32.3,14.3,27.3,33.4,43.7,34,21.3,26.2,47.9,23,28.8,33.5,28.8,29.9,28.9,3.41E-04,7.88E-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000143740.10,SNAP47,protein coding,Protein-coding transcript,"chr1:227,916,240-227,968,927",4.2,5.5,9.8,6.6,9.2,9.4,6.1,8.1,10.3,15.4,10.7,8.5,11.6,11,12,2.67E-04,N/A,N/A,N/A,7.51E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000143919.10,CAMKMT,protein coding,Protein-coding transcript,"chr2:44,589,089-44,999,731",4.4,4.8,9,8.6,12.1,12.4,6.3,6.3,13.2,9.8,9,10,9.6,10.1,9.1,N/A,N/A,N/A,N/A,2.23E-02,N/A,N/A,1.81E-02,N/A,N/A,N/A,4.22E-02,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000144567.6,FAM134A,protein coding,Protein-coding transcript,"chr2:220,040,947-220,050,201",89,127.8,134.6,74.9,103.3,109.9,42.3,58.6,109.5,155.5,131.2,113.7,124.9,123.3,138.2,1.39E-08,4.01E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000144580.9,RQCD1,protein coding,Protein-coding transcript,"chr2:219,433,303-219,461,803",57.8,69.1,126.9,117.2,136.9,126.1,179.3,197.9,134.4,124.5,135.4,134.7,130,136.8,135.5,N/A,N/A,1.41E-06,3.68E-03,1.66E-09,4.84E-08,2.60E-03,2.17E-02,1.44E-07,2.29E-05,6.11E-06,4.81E-09,4.83E-11,2.33E-10,3.33E-07,13
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000146215.9,CRIP3,protein coding,Protein-coding transcript,"chr6:43,267,448-43,276,535",2.2,1.6,2.7,29.2,2.7,1.6,0.5,0.3,3.2,3.2,1.8,0.9,1.6,1.8,2.6,1.43E-04,5.21E-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.33E-02,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000146223.10,RPL7L1,protein coding,Protein-coding transcript,"chr6:42,847,356-42,857,663",12.9,17.4,28.9,30.3,33.7,32.1,120.7,113.5,34.9,24.2,25.4,28.4,26.1,26.3,27.4,7.60E-03,N/A,N/A,4.81E-03,N/A,N/A,N/A,N/A,N/A,1.41E-02,N/A,3.76E-03,3.19E-03,8.34E-03,3.18E-02,7
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000146535.9,GNA12,protein coding,Protein-coding transcript,"chr7:2,767,746-2,883,958",25.8,12.2,13,46.7,13.2,13.3,12.2,16.1,16.7,22.1,15.8,11.1,12.8,14.9,17.7,N/A,N/A,N/A,9.41E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.24E-02,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000149177.8,PTPRJ,protein coding,Protein-coding transcript,"chr11:48,002,113-48,189,670",65.8,157.5,106.1,29.4,36.3,18.3,43.5,40.4,49.6,88.1,52.2,41.8,41.6,41.7,46.1,2.64E-04,2.17E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000149485.12,FADS1,protein coding,Protein-coding transcript,"chr11:61,567,099-61,596,790",27.7,9.9,19,4.4,1.7,1.5,1.1,1.6,1.2,1.7,3.1,2.1,2.1,2.2,2.9,N/A,1.59E-06,7.15E-09,1.39E-07,2.65E-13,1.23E-11,1.60E-13,7.40E-12,1.79E-13,2.17E-13,3.67E-09,1.45E-12,5.48E-16,7.25E-16,2.82E-15,14
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000150938.5,CRIM1,protein coding,Protein-coding transcript,"chr2:36,583,069-36,778,278",2.9,3.1,29.3,13.3,1.9,2,19.9,15.8,2.5,3.8,8.3,6.3,4.3,5.6,2.6,3.37E-03,1.38E-02,N/A,4.40E-07,2.60E-04,5.36E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.75E-02,1.05E-04,7
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000150967.13,ABCB9,protein coding,Protein-coding transcript,"chr12:123,405,498-123,466,196",0.4,0.3,0.7,0.5,3.1,3,0.6,0.7,2.4,1.8,2.9,1.8,2.4,2.6,4.1,N/A,N/A,N/A,N/A,4.63E-05,1.73E-04,N/A,N/A,2.46E-05,4.18E-07,N/A,1.54E-02,4.24E-07,1.66E-04,8.51E-05,8
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000153574.8,RPIA,protein coding,Protein-coding transcript,"chr2:88,991,162-89,050,452",54.3,99,103.1,83.3,118.9,125.9,390.4,380.7,106.6,95.4,88.9,85.6,94.5,97,111.9,N/A,N/A,N/A,2.45E-02,N/A,N/A,N/A,N/A,N/A,N/A,3.45E-02,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000153814.7,JAZF1,protein coding,Protein-coding transcript,"chr7:27,870,192-28,220,362",87.3,110,185.3,176.1,24.7,13.9,32.2,15.1,23.1,46.2,31.6,39.7,37.1,47.1,24.9,1.78E-07,N/A,N/A,N/A,1.37E-06,N/A,7.77E-11,4.92E-04,1.15E-04,4.32E-03,1.42E-02,N/A,4.40E-02,1.38E-03,N/A,9
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000155085.11,AK9,protein coding,Protein-coding transcript,"chr6:109,814,059-110,012,420",1.7,2.8,8.5,13.5,7.9,6.5,2.5,3.1,7.4,4.5,5.4,5.7,4.8,5.5,4.7,9.73E-04,1.24E-04,7.38E-05,1.62E-06,N/A,2.35E-04,N/A,N/A,2.61E-05,1.65E-05,1.15E-03,3.34E-03,2.71E-04,7.36E-05,4.63E-03,12
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000159199.9,ATP5G1,protein coding,Protein-coding transcript,"chr17:46,970,127-46,973,233",17.1,11.9,20.3,14.5,20.6,23,44.1,51.8,19.3,18.9,18.7,15.9,18.6,17.6,19.1,N/A,N/A,N/A,N/A,N/A,N/A,1.12E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000159202.13,UBE2Z,protein coding,Protein-coding transcript,"chr17:46,985,731-47,006,418",35.8,61.9,59.3,59.6,47.1,51.1,60.4,70.2,52.1,60.3,47.7,46.1,51.1,50,52,4.29E-10,7.08E-27,1.86E-06,1.05E-08,N/A,N/A,5.14E-05,6.94E-04,2.98E-03,7.23E-10,1.21E-06,7.07E-07,5.51E-08,1.28E-06,4.23E-05,13
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000163125.11,RPRD2,protein coding,Protein-coding transcript,"chr1:150,335,567-150,449,042",24.2,33.6,58.4,66.7,87.6,71.8,28.5,29.4,90.7,81.6,76.5,72,73.6,78.5,78.9,N/A,N/A,N/A,N/A,3.80E-02,3.12E-02,N/A,N/A,N/A,N/A,N/A,N/A,3.79E-02,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000163257.6,DCAF16,protein coding,Protein-coding transcript,"chr4:17,802,278-17,812,381",49.4,42.8,113.9,157.4,156.7,137,167.1,129.2,172.2,116.7,112.3,121.5,112.8,129.1,128.4,N/A,N/A,N/A,N/A,N/A,N/A,4.67E-02,N/A,N/A,N/A,N/A,N/A,N/A,3.11E-02,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000163933.5,RFT1,protein coding,Protein-coding transcript,"chr3:53,122,499-53,164,478",16.1,16.5,23.3,32.5,43,43.2,32.1,37.7,44.1,29.4,32.3,28.7,30.3,31.6,36.7,N/A,N/A,N/A,1.80E-02,N/A,N/A,4.32E-07,3.02E-05,3.70E-02,3.97E-02,N/A,N/A,N/A,N/A,N/A,5
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000163935.9,SFMBT1,protein coding,Protein-coding transcript,"chr3:52,937,588-53,080,766",3.1,4.4,21.2,40,41,42.3,29.8,37.2,30.6,28.7,52.2,65.2,46.8,53.8,34.1,5.31E-05,1.40E-04,N/A,1.28E-02,2.14E-02,N/A,N/A,N/A,N/A,6.39E-03,3.19E-02,N/A,4.28E-02,N/A,7.56E-03,8
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000163939.14,PBRM1,protein coding,Protein-coding transcript,"chr3:52,579,368-52,719,933",31,46.2,58.3,52.7,59.7,49.3,88.6,79.5,57.3,44.5,50,56.2,51.3,56.4,50.2,N/A,N/A,N/A,N/A,N/A,N/A,7.42E-07,7.04E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000164465.14,DCBLD1,protein coding,Protein-coding transcript,"chr6:117,774,980-117,891,021",2.9,4.1,7.3,0.3,2,3,1.8,2.6,4.3,2.3,4.6,3.9,2.1,1.8,3.7,7.54E-18,7.37E-19,1.34E-08,N/A,N/A,1.28E-04,N/A,N/A,1.61E-02,N/A,1.01E-02,4.03E-03,3.85E-03,1.07E-02,1.39E-03,10
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000165661.11,QSOX2,protein coding,Protein-coding transcript,"chr9:139,098,179-139,137,687",18.1,14.5,47.2,247.7,45.7,60.2,172.6,164.7,59.8,67.5,56.4,40.1,48,49,75.6,N/A,N/A,N/A,N/A,N/A,2.62E-04,N/A,N/A,4.04E-03,1.55E-02,N/A,2.40E-02,6.84E-03,1.89E-02,3.54E-02,7
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000165898.9,ISCA2,protein coding,Protein-coding transcript,"chr14:74,960,423-74,963,809",17.3,26.8,29.9,35.2,50.5,43,25.1,34.9,46,33.7,35.8,35.6,37,38.5,35,N/A,N/A,3.23E-03,3.25E-04,2.80E-12,2.02E-11,2.85E-04,3.32E-03,1.40E-14,5.36E-08,1.29E-07,7.77E-11,5.63E-15,2.14E-11,1.05E-11,13
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000167780.7,SOAT2,protein coding,Protein-coding transcript,"chr12:53,497,302-53,518,322",0,0.2,0.1,0.1,2.1,12,0.2,1.3,1.2,0.5,7.2,8.4,3.9,2.4,4,N/A,N/A,N/A,N/A,4.65E-03,1.36E-03,N/A,9.86E-05,N/A,N/A,N/A,7.81E-05,2.22E-02,2.88E-02,3.17E-02,7
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000168268.6,NT5DC2,protein coding,Protein-coding transcript,"chr3:52,558,386-52,569,070",2.9,0.1,0.6,0.4,0.5,1,1.4,4.1,0.5,1.2,0.7,0.8,1.1,1.5,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.56E-09,N/A,N/A,9.51E-17,8.28E-12,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000168374.6,ARF4,protein coding,Protein-coding transcript,"chr3:57,557,090-57,583,947",177.2,174.3,104.5,101.7,100.8,85.9,350.4,282.5,117.8,93.4,91.5,114.2,92.8,111.1,93.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.85E-02,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000168385.13,2-Sep,protein coding,Protein-coding transcript,"chr2:242,254,515-242,293,442",153.8,144.7,182.7,137,147.1,141.7,145.3,161.9,149.5,134,138.1,166.5,147.9,151.4,133.4,9.53E-08,4.86E-07,2.91E-04,2.35E-06,8.27E-10,2.97E-10,2.19E-08,1.12E-07,4.47E-10,4.00E-08,6.47E-07,1.13E-09,9.13E-09,5.58E-09,5.32E-09,15
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000168792.4,ABHD15,protein coding,Protein-coding transcript,"chr17:27,887,565-27,894,155",19,15.2,111.1,49.6,19.1,23.7,9.5,13.9,22.7,36.7,40.9,50.7,40.5,32.7,37.3,2.24E-03,9.68E-03,N/A,N/A,1.31E-03,4.00E-03,N/A,N/A,1.76E-03,7.46E-04,N/A,1.19E-02,1.14E-03,N/A,N/A,8
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000169504.10,CLIC4,protein coding,Protein-coding transcript,"chr1:25,071,848-25,170,815",90.5,75.2,3.8,493.2,2.3,1.4,50.9,25,2,1.7,4,4.1,2,6.5,1.4,N/A,5.97E-07,1.62E-02,4.44E-02,3.73E-02,N/A,N/A,N/A,N/A,N/A,N/A,1.28E-04,2.18E-03,N/A,N/A,6
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000169592.10,INO80E,protein coding,Protein-coding transcript,"chr16:30,006,615-30,017,114",8.7,15.9,28.4,16.4,23,27.7,13.2,16.6,29,41.6,30.1,21.3,29.5,28.3,39.4,6.34E-03,N/A,N/A,N/A,N/A,1.15E-03,N/A,N/A,N/A,2.32E-05,1.77E-02,6.59E-03,N/A,N/A,1.15E-03,6
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000170175.6,CHRNB1,protein coding,Protein-coding transcript,"chr17:7,348,380-7,361,026",2.3,3.6,6.4,1.2,3.5,4.5,1.5,1.9,2.5,4.4,3.6,3.2,3.9,4.1,3.6,2.37E-04,5.83E-09,N/A,N/A,N/A,8.51E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000170581.9,STAT2,protein coding,Protein-coding transcript,"chr12:56,735,381-56,753,939",109.8,181.2,73.6,131.1,81.5,71.3,66.4,91.3,70.1,97.6,82.9,72.8,77.7,83.1,84.5,N/A,N/A,N/A,N/A,2.41E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000170891.6,CYTL1,protein coding,Protein-coding transcript,"chr4:5,016,313-5,021,199",1.6,0,12.7,0,0,0.1,0,0,0,0,0,0,0,0,0,N/A,N/A,3.95E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000171055.10,FEZ2,protein coding,Protein-coding transcript,"chr2:36,778,570-36,873,230",13.2,11.9,9.3,8.1,4.3,4.4,3.3,3.4,4.3,4,4,4.9,4.1,4.5,3.7,1.26E-03,3.62E-04,N/A,N/A,N/A,4.72E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000172340.10,SUCLG2,protein coding,Protein-coding transcript,"chr3:67,410,884-67,705,038",43,72,65.5,60.5,116.1,106.5,15.9,16.4,112.1,70.4,84.7,98.8,81.6,94,89.4,N/A,5.16E-05,N/A,4.65E-02,3.98E-03,8.36E-03,N/A,N/A,1.46E-02,1.42E-03,2.57E-02,N/A,1.99E-03,3.86E-02,N/A,9
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000173548.8,SNX33,protein coding,Protein-coding transcript,"chr15:75,940,247-75,954,642",19.4,6.3,14.8,1,2.7,3.1,38.8,20.1,3.9,12.1,9.3,7.4,6.8,6.1,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.52E-02,N/A,N/A,N/A,N/A,N/A,N/A,1
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000174080.6,CTSF,protein coding,Protein-coding transcript,"chr11:66,330,934-66,336,312",1.3,1.5,24.5,6.3,21.1,23.2,2.2,2.2,28.5,14.9,17.5,12,15.3,13.8,22.1,5.36E-03,1.00E-02,5.69E-03,9.71E-04,N/A,5.71E-04,2.18E-02,4.14E-03,8.60E-05,1.03E-08,8.76E-05,3.92E-05,9.14E-06,9.63E-06,1.02E-05,14
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000176390.10,CRLF3,protein coding,Protein-coding transcript,"chr17:29,096,406-29,151,794",41.7,71.7,62.2,69.2,143.1,117.6,67.6,58.3,131.3,66.3,71.1,70.3,67.1,78.8,81.5,N/A,4.04E-03,2.10E-04,1.31E-03,N/A,7.69E-03,N/A,N/A,N/A,N/A,N/A,1.58E-02,7.65E-03,8.95E-03,7.40E-03,8
Body height,Body weights and measures; Diagnostic techniques and procedures; Physical examination,N/A,ENSG00000176700.15,SCAND2P,pseudogene,Pseudogene,"chr15:85,174,682-85,185,695",6,7.7,14.1,13.3,20.7,19.6,10.4,11.6,19.6,15,14.8,13.7,14.6,14.8,18.2,1.66E-02,N/A,8.68E-04,4.89E-02,4.30E-05,3.10E-03,3.78E-07,4.43E-08,6.78E-05,8.22E-08,1.91E-03,4.34E-04,2.38E-05,2.16E-05,6.89E-05,14
